Area,Area Id,Variable Name,Variable Id,Year,Value,Symbol,Md
Afghanistan,2,SDG 6.4.2. Water Stress,4550,2000,54.75,K,,
Albania,3,SDG 6.4.2. Water Stress,4550,1990,7.212,K,,
Albania,3,SDG 6.4.2. Water Stress,4550,2000,11.05,K,,
Albania,3,SDG 6.4.2. Water Stress,4550,2006,7.879,K,,
Algeria,4,SDG 6.4.2. Water Stress,4550,1990,62.39,K,,
Algeria,4,SDG 6.4.2. Water Stress,4550,2001,80.25,K,,
Algeria,4,SDG 6.4.2. Water Stress,4550,2012,109.8,K,,
Algeria,4,SDG 6.4.2. Water Stress,4550,2016,127.6,K,,
Angola,7,SDG 6.4.2. Water Stress,4550,2000,1.699,K,,
Angola,7,SDG 6.4.2. Water Stress,4550,2005,1.872,K,,
Antigua and Barbuda,8,SDG 6.4.2. Water Stress,4550,1990,3.269,,,
Antigua and Barbuda,8,SDG 6.4.2. Water Stress,4550,2005,9.808,I,,
Antigua and Barbuda,8,SDG 6.4.2. Water Stress,4550,2012,8.462,,,
Argentina,9,SDG 6.4.2. Water Stress,4550,1995,7.93,K,,
Argentina,9,SDG 6.4.2. Water Stress,4550,2011,10.46,K,,
Armenia,1,SDG 6.4.2. Water Stress,4550,1995,59.01,K,,
Armenia,1,SDG 6.4.2. Water Stress,4550,2002,34.96,K,,
Armenia,1,SDG 6.4.2. Water Stress,4550,2007,57.66,K,,
Armenia,1,SDG 6.4.2. Water Stress,4550,2012,59.33,K,,
Armenia,1,SDG 6.4.2. Water Stress,4550,2017,57.43,K,,
Australia,10,SDG 6.4.2. Water Stress,4550,1996,8.858,K,,
Australia,10,SDG 6.4.2. Water Stress,4550,2001,8.645,K,,
Australia,10,SDG 6.4.2. Water Stress,4550,2005,7.443,K,,
Australia,10,SDG 6.4.2. Water Stress,4550,2012,6.212,K,,
Australia,10,SDG 6.4.2. Water Stress,4550,2016,6.24,K,,
Austria,11,SDG 6.4.2. Water Stress,4550,1990,10.51,K,,
Austria,11,SDG 6.4.2. Water Stress,4550,1997,10.06,K,,
Austria,11,SDG 6.4.2. Water Stress,4550,2002,10.13,K,,
Austria,11,SDG 6.4.2. Water Stress,4550,2010,9.649,K,,
Azerbaijan,52,SDG 6.4.2. Water Stress,4550,1992,71.52,K,,
Azerbaijan,52,SDG 6.4.2. Water Stress,4550,1997,55.23,K,,
Azerbaijan,52,SDG 6.4.2. Water Stress,4550,2002,44.46,K,,
Azerbaijan,52,SDG 6.4.2. Water Stress,4550,2007,54.17,K,,
Azerbaijan,52,SDG 6.4.2. Water Stress,4550,2012,52.85,K,,
Azerbaijan,52,SDG 6.4.2. Water Stress,4550,2017,56.42,K,,
Bahrain,13,SDG 6.4.2. Water Stress,4550,1990,161.1,,,
Bahrain,13,SDG 6.4.2. Water Stress,4550,2003,205.8,,,
Bahrain,13,SDG 6.4.2. Water Stress,4550,2016,132.2,,,
Bangladesh,16,SDG 6.4.2. Water Stress,4550,2008,5.724,K,,
Barbados,14,SDG 6.4.2. Water Stress,4550,1996,101.2,I,,
Barbados,14,SDG 6.4.2. Water Stress,4550,2005,87.5,I,,
Belarus,57,SDG 6.4.2. Water Stress,4550,1995,6.526,K,,
Belarus,57,SDG 6.4.2. Water Stress,4550,2000,6.055,K,,
Belarus,57,SDG 6.4.2. Water Stress,4550,2005,5.623,K,,
Belarus,57,SDG 6.4.2. Water Stress,4550,2010,5.102,K,,
Belarus,57,SDG 6.4.2. Water Stress,4550,2016,4.786,K,,
Belgium,255,SDG 6.4.2. Water Stress,4550,1997,94.47,K,,
Belgium,255,SDG 6.4.2. Water Stress,4550,2002,82.74,K,,
Belgium,255,SDG 6.4.2. Water Stress,4550,2007,76.34,K,,
Belgium,255,SDG 6.4.2. Water Stress,4550,2009,73.73,K,,
Belize,23,SDG 6.4.2. Water Stress,4550,2000,1.261,K,,
Benin,53,SDG 6.4.2. Water Stress,4550,2001,0.9752,K,,
Bhutan,18,SDG 6.4.2. Water Stress,4550,2008,1.414,K,,
Bolivia (Plurinational State of),19,SDG 6.4.2. Water Stress,4550,2009,1.177,K,,
Bosnia and Herzegovina,80,SDG 6.4.2. Water Stress,4550,2005,2.218,K,,
